time_sec,ECG_I,ECG_I_filtered
0.0,-0.68,-0.075
0.002,-0.62,-0.055
0.004,-0.625,-0.04
0.006,-0.63,-0.025
0.008,-0.645,-0.015
0.01,-0.64,-0.01
0.012,-0.625,-0.01
0.014,-0.595,-0.015
0.016,-0.575,-0.02
0.018,-0.595,-0.025
0.02,-0.62,-0.03
0.022,-0.64,-0.035
0.024,-0.645,-0.035
0.026,-0.655,-0.035
0.028,-0.645,-0.035
0.03,-0.64,-0.035
0.032,-0.64,-0.04
0.034,-0.675,-0.04
0.036,-0.68,-0.045
0.038,-0.655,-0.055
0.04,-0.67,-0.06
0.042,-0.675,-0.065
0.044,-0.67,-0.065
0.046,-0.655,-0.065
0.048,-0.635,-0.065
0.05,-0.615,-0.055
0.052,-0.625,-0.05
0.054,-0.63,-0.04
0.056,-0.625,-0.03
0.058,-0.63,-0.02
0.06,-0.64,-0.015
0.062,-0.645,-0.015
0.064,-0.66,-0.015
0.066,-0.655,-0.02
0.068,-0.655,-0.025
0.07,-0.64,-0.035
0.072,-0.66,-0.04
0.074,-0.655,-0.05
0.076,-0.655,-0.06
0.078,-0.685,-0.065
0.08,-0.685,-0.07
0.082,-0.67,-0.075
0.084,-0.655,-0.07
0.086,-0.65,-0.065
0.088,-0.65,-0.06
0.09,-0.625,-0.05
0.092,-0.6,-0.035
0.094,-0.6,-0.025
0.096,-0.6,-0.015
0.098,-0.615,-0.005
0.1,-0.64,0.005
0.102,-0.62,0.005
0.104,-0.595,0.005
0.106,-0.6,0.005
0.108,-0.57,0.005
0.11,-0.54,0.005
0.112,-0.575,0.005
0.114,-0.62,0.005
0.116,-0.595,0.01
0.118,-0.585,0.015
0.12,-0.605,0.02
0.122,-0.6,0.02
0.124,-0.6,0.025
0.126,-0.59,0.025
0.128,-0.58,0.02
0.13,-0.57,0.02
0.132,-0.575,0.015
0.134,-0.575,0.01
0.136,-0.595,0.005
0.138,-0.605,0.0
0.14,-0.615,-0.005
0.142,-0.62,-0.01
0.144,-0.625,-0.015
0.146,-0.64,-0.025
0.148,-0.655,-0.03
0.15,-0.66,-0.035
0.152,-0.7,-0.045
0.154,-0.69,-0.055
0.156,-0.64,-0.065
0.158,-0.665,-0.07
0.16,-0.68,-0.08
0.162,-0.69,-0.085
0.164,-0.685,-0.09
0.166,-0.685,-0.09
0.168,-0.67,-0.09
0.17,-0.655,-0.08
0.172,-0.65,-0.075
0.174,-0.655,-0.065
0.176,-0.65,-0.06
0.178,-0.655,-0.055
0.18,-0.66,-0.055
0.182,-0.67,-0.055
0.184,-0.655,-0.06
0.186,-0.645,-0.06
0.188,-0.65,-0.05
0.19,-0.62,-0.035
0.192,-0.6,-0.01
0.194,-0.555,0.025
0.196,-0.525,0.08
0.198,-0.475,0.14
0.2,-0.385,0.215
0.202,-0.285,0.295
0.204,-0.205,0.38
0.206,-0.09,0.465
0.208,0.015,0.55
0.21,0.085,0.62
0.212,0.09,0.68
0.214,0.09,0.715
0.216,0.12,0.72
0.218,0.125,0.685
0.22,0.09,0.605
0.222,-0.06,0.49
0.224,-0.27,0.335
0.226,-0.45,0.155
0.228,-0.67,-0.03
0.23,-0.865,-0.21
0.232,-1.05,-0.37
0.234,-1.19,-0.49
0.236,-1.23,-0.565
0.238,-1.22,-0.595
0.24,-1.21,-0.59
0.242,-1.09,-0.555
0.244,-1.015,-0.5
0.246,-0.97,-0.445
0.248,-0.96,-0.395
0.25,-0.955,-0.355
0.252,-0.955,-0.33
0.254,-0.935,-0.31
0.256,-0.89,-0.3
0.258,-0.875,-0.285
0.26,-0.82,-0.27
0.262,-0.795,-0.25
0.264,-0.775,-0.22
0.266,-0.795,-0.195
0.268,-0.765,-0.165
0.27,-0.745,-0.14
0.272,-0.72,-0.12
0.274,-0.705,-0.11
0.276,-0.685,-0.1
0.278,-0.67,-0.095
0.28,-0.675,-0.09
0.282,-0.64,-0.08
0.284,-0.635,-0.07
0.286,-0.645,-0.06
0.288,-0.645,-0.045
0.29,-0.655,-0.035
0.292,-0.645,-0.025
0.294,-0.635,-0.02
0.296,-0.635,-0.015
0.298,-0.635,-0.015
0.3,-0.64,-0.02
0.302,-0.64,-0.02
0.304,-0.64,-0.025
0.306,-0.63,-0.03
0.308,-0.635,-0.03
0.31,-0.605,-0.03
0.312,-0.62,-0.03
0.314,-0.625,-0.03
0.316,-0.615,-0.025
0.318,-0.625,-0.025
0.32,-0.63,-0.025
0.322,-0.63,-0.025
0.324,-0.615,-0.025
0.326,-0.61,-0.025
0.328,-0.62,-0.025
0.33,-0.61,-0.02
0.332,-0.62,-0.02
0.334,-0.615,-0.015
0.336,-0.61,-0.01
0.338,-0.585,0.0
0.34,-0.585,0.005
0.342,-0.575,0.01
0.344,-0.58,0.015
0.346,-0.585,0.02
0.348,-0.575,0.025
0.35,-0.57,0.03
0.352,-0.555,0.035
0.354,-0.54,0.04
0.356,-0.55,0.045
0.358,-0.565,0.055
0.36,-0.54,0.06
0.362,-0.53,0.065
0.364,-0.54,0.07
0.366,-0.52,0.075
0.368,-0.495,0.075
0.37,-0.52,0.075
0.372,-0.51,0.075
0.374,-0.51,0.075
0.376,-0.5,0.08
0.378,-0.515,0.085
0.38,-0.515,0.095
0.382,-0.48,0.11
0.384,-0.475,0.125
0.386,-0.47,0.14
0.388,-0.43,0.155
0.39,-0.435,0.165
0.392,-0.445,0.17
0.394,-0.425,0.175
0.396,-0.435,0.175
0.398,-0.45,0.175
0.4,-0.435,0.17
0.402,-0.445,0.17
0.404,-0.445,0.17
0.406,-0.42,0.17
0.408,-0.425,0.17
0.41,-0.435,0.17
0.412,-0.44,0.165
0.414,-0.44,0.165
0.416,-0.465,0.16
0.418,-0.47,0.155
0.42,-0.46,0.15
0.422,-0.48,0.145
0.424,-0.485,0.14
0.426,-0.485,0.135
0.428,-0.435,0.135
0.43,-0.455,0.135
0.432,-0.45,0.14
0.434,-0.43,0.14
0.436,-0.455,0.145
0.438,-0.48,0.145
0.44,-0.475,0.14
0.442,-0.48,0.14
0.444,-0.5,0.13
0.446,-0.5,0.125
0.448,-0.505,0.12
0.45,-0.525,0.11
0.452,-0.525,0.1
0.454,-0.515,0.095
0.456,-0.525,0.085
0.458,-0.525,0.08
0.46,-0.52,0.07
0.462,-0.535,0.065
0.464,-0.565,0.055
0.466,-0.56,0.05
